seed,weight_decay,N,selected_proxy_reward_mean,selected_true_utility_mean,selected_spurious_utility_mean,oracle_best_true_utility_mean,random_candidate_true_utility_mean,proxy_minus_true_gap
90000,1.0,256,2.6798593997955322,-0.00714064808562398,10.835822105407715,2.830634117126465,-0.009882843121886253,2.687000036239624
90001,0.0,1,2.811180591583252,0.005093766376376152,2.0901455879211426,0.005093766376376152,0.005093771032989025,2.806086778640747
90001,0.0,4,4.337422847747803,0.017951732501387596,4.269384860992432,1.0380275249481201,0.005093771032989025,4.3194708824157715
90001,0.0,16,4.581804275512695,0.0839429646730423,6.758865833282471,1.798901081085205,0.005093771032989025,4.497861385345459
90001,0.0,64,4.586825847625732,0.057678643614053726,9.38082504272461,2.3770952224731445,0.005093771032989025,4.529147148132324
90001,0.0,256,4.586874485015869,0.026793060824275017,11.60286808013916,2.849123001098633,0.005093771032989025,4.560081481933594
90001,1e-05,1,2.811180591583252,0.005093766376376152,2.0901455879211426,0.005093766376376152,0.005093771032989025,2.806086778640747
90001,1e-05,4,4.337422847747803,0.017951732501387596,4.269384860992432,1.0380275249481201,0.005093771032989025,4.3194708824157715
90001,1e-05,16,4.581804275512695,0.0839429646730423,6.758865833282471,1.798901081085205,0.005093771032989025,4.497861385345459
90001,1e-05,64,4.586825847625732,0.057678643614053726,9.38082504272461,2.3770952224731445,0.005093771032989025,4.529147148132324
90001,1e-05,256,4.586874485015869,0.026793060824275017,11.60286808013916,2.849123001098633,0.005093771032989025,4.560081481933594
90001,0.0001,1,2.8140652179718018,0.005093766376376152,2.0901455879211426,0.005093766376376152,0.005093771032989025,2.808971405029297
90001,0.0001,4,4.33823299407959,0.020349493250250816,4.268526554107666,1.0380275249481201,0.005093771032989025,4.317883491516113
90001,0.0001,16,4.581103324890137,0.08507789671421051,6.760715484619141,1.798901081085205,0.005093771032989025,4.496025562286377
90001,0.0001,64,4.586036205291748,0.05668261647224426,9.398200988769531,2.3770952224731445,0.005093771032989025,4.529353618621826
90001,0.0001,256,4.586082458496094,0.032171301543712616,11.759770393371582,2.849123001098633,0.005093771032989025,4.553911209106445
90001,0.001,1,2.8126606941223145,0.005093766376376152,2.0901455879211426,0.005093766376376152,0.005093771032989025,2.8075668811798096
90001,0.001,4,4.337320327758789,0.01924322172999382,4.268256664276123,1.0380275249481201,0.005093771032989025,4.318077087402344
90001,0.001,16,4.579322814941406,0.08771637082099915,6.759438514709473,1.798901081085205,0.005093771032989025,4.49160623550415
90001,0.001,64,4.584155082702637,0.056246567517519,9.39580249786377,2.3770952224731445,0.005093771032989025,4.5279083251953125
90001,0.001,256,4.584198951721191,0.028181031346321106,11.729697227478027,2.849123001098633,0.005093771032989025,4.556017875671387
90001,0.01,1,2.8019750118255615,0.005093766376376152,2.0901455879211426,0.005093766376376152,0.005093771032989025,2.7968811988830566
90001,0.01,4,4.309065341949463,0.019410954788327217,4.268537521362305,1.0380275249481201,0.005093771032989025,4.28965425491333
90001,0.01,16,4.545469760894775,0.08690261840820312,6.7581353187561035,1.798901081085205,0.005093771032989025,4.458567142486572
90001,0.01,64,4.550293922424316,0.05853176862001419,9.397024154663086,2.3770952224731445,0.005093771032989025,4.491762161254883
90001,0.01,256,4.5503411293029785,0.035909879952669144,11.72727108001709,2.849123001098633,0.005093771032989025,4.514431476593018
90001,0.1,1,2.650722026824951,0.005093766376376152,2.0901455879211426,0.005093766376376152,0.005093771032989025,2.6456282138824463
90001,0.1,4,4.024489402770996,0.03161109611392021,4.263773441314697,1.0380275249481201,0.005093771032989025,3.9928781986236572
90001,0.1,16,4.234391689300537,0.09064749628305435,6.760138988494873,1.798901081085205,0.005093771032989025,4.143743991851807
90001,0.1,64,4.239268779754639,0.057478997856378555,9.400909423828125,2.3770952224731445,0.005093771032989025,4.181789875030518
90001,0.1,256,4.239328384399414,0.03890611231327057,11.684856414794922,2.849123001098633,0.005093771032989025,4.200422286987305
90001,1.0,1,1.743998646736145,0.005093766376376152,2.0901455879211426,0.005093766376376152,0.005093771032989025,1.7389048337936401
